Year,exporter_key,exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc2,un,totalQuantityinShipment,units_final,phase,ExpectedManagementMethod,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,receivingfacilityzipcode,latitude,longitude
2010,E3A26118,ARCELORMITTEL,690 STRATHEARNE AVE,N HAMILTON,ONTARIO,CANADA,43.26118,-79.78887,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,22784,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A59682,CHEMTURA CANADA,25 ERB STREET,ELMIRA,ONTARIO,CANADA,43.596818,-80.551437,"Aluminum bromide, solution",UN2580,24211,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A59682,CHEMTURA CANADA,25 ERB STREET,ELMIRA,ONTARIO,CANADA,43.596818,-80.551437,"Aluminum bromide, solution",UN2580,22629,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A64151,GALVCAST MANUFACTURING INC,60 COMMERCE CRES,ACTON,ONTARIO,CANADA,43.6415099,-80.05166,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,21596,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A16893,PURE METAL GALVANIZING,32 BODINE DR,BRANTFORD,ONTARIO,CANADA,43.16893,-80.23353,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,29662,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A70525,PURE METAL GALVANIZING,7470 BREN RD.,MISSISSAUGA,ONTARIO,CANADA,43.70525,-79.66331,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,23178,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A70525,PURE METAL GALVANIZING,7470 BREN RD.,MISSISSAUGA,ONTARIO,CANADA,43.70525,-79.66331,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,17447,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A16893,PURE METAL GALVANIZING,32 BODINE DR,BRANTFORD,ONTARIO,CANADA,43.16893,-80.23353,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,30961,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A16893,PURE METAL GALVANIZING,32 BODINE DR,BRANTFORD,ONTARIO,CANADA,43.16893,-80.23353,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,30734,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A60415,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,"Sulfuric acid, spent",UN1832,22353,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E3A60415,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,"Sulfuric acid, spent",UN1832,22258,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,25215,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,25434,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,25400,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,24370,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,25037,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,25828,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,24677,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E9A13543,TRI-ARROW INDUSTRIAL RECOVERY,13364 COMBER WAY,SURREY,BRITISH COLUMBIA,CANADA,49.1354333,-122.8524568,"Flammable liquids, n.o.s.",UN1993,25415,liters,liquid,Fuel blending,WAD981769110,EMERALD SERVICES INC,1825 ALEXANDER AVE,TACOMA,WA,98421,47.2697983,-122.39048
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13302,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,12745,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,2801,liters,liquid,Other chemical precipitation,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,401,liters,liquid,Off site treatment,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,799,liters,liquid,Other chemical precipitation,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,401,liters,liquid,Other chemical precipitation,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,201,liters,liquid,Other chemical precipitation,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,12802,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13453,liters,liquid,Discharge to sewer/POTW or NPDES,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Metals recovery,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,12745,liters,liquid,Metals recovery,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Metals recovery,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13658,liters,liquid,Metals recovery,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E3A77161,NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CT,TORONTO,ONTARIO,CANADA,43.7716068,-79.2627553,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,13204,liters,liquid,Metals recovery,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,44707,40.775241,-81.369041
2010,E2A30269,CHRYSLER CANADA,2199 CHRYSLER CENTRE,WINDSOR,ONTARIO,CANADA,42.3026855,-82.9882793,Paint,N/A,19000,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E2A30269,CHRYSLER CANADA,2199 CHRYSLER CENTRE,WINDSOR,ONTARIO,CANADA,42.3026855,-82.9882793,Paint,N/A,22000,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E3A48931,FORD MOTOR COMPANY,BOX 1300,OAKVILLE,ONTARIO,CANADA,43.489311,-79.6714,Paint,N/A,28000,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E3A48931,FORD MOTOR COMPANY,BOX 1300,OAKVILLE,ONTARIO,CANADA,43.489311,-79.6714,Paint,N/A,28000,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E3A48931,FORD MOTOR COMPANY,BOX 1300,OAKVILLE,ONTARIO,CANADA,43.489311,-79.6714,Paint,N/A,28000,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E3A48931,FORD MOTOR COMPANY,BOX 1300,OAKVILLE,ONTARIO,CANADA,43.489311,-79.6714,Paint,N/A,28000,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E3A48931,FORD MOTOR COMPANY,BOX 1300,OAKVILLE,ONTARIO,CANADA,43.489311,-79.6714,Paint,N/A,17500,liters,liquid,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA ST,FERNDALE,MI,48220,42.4516907,-83.1143265
2010,E3A25933,ARCELORMITTEL,1330 BURLINGTON ST E,HAMILTON,ONTARIO,CANADA,43.25933,-79.81104,"Toxic liquid, inorganic, n.o.s.",UN3287,14252,liters,liquid,N/A,PAD087561015,INMETCO,1 INMETCO DR,ELLWOOD CITY,PA,16117,40.857673,-80.273355
2010,E3A25933,ARCELORMITTEL,1330 BURLINGTON ST E,HAMILTON,ONTARIO,CANADA,43.25933,-79.81104,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,11413,liters,liquid,Metals recovery,PAD087561015,INMETCO,1 INMETCO DR,ELLWOOD CITY,PA,16117,40.857673,-80.273355
2010,E3A25933,ARCELORMITTEL,1330 BURLINGTON ST E,HAMILTON,ONTARIO,CANADA,43.25933,-79.81104,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,6541,liters,liquid,N/A,PAD087561015,INMETCO,1 INMETCO DR,ELLWOOD CITY,PA,16117,40.857673,-80.273355
2010,E3A25933,ARCELORMITTEL,1330 BURLINGTON ST E,HAMILTON,ONTARIO,CANADA,43.25933,-79.81104,"Toxic liquid, inorganic, n.o.s.",UN3287,15005,liters,liquid,Metals recovery,PAD087561015,INMETCO,1 INMETCO DR,ELLWOOD CITY,PA,16117,40.857673,-80.273355
2010,E3A41280,KUNTZ ELECTROPLATING INC,851 WILSON AVE,KITCHENER,ONTARIO,CANADA,43.4128,-80.44358,Chromic acid solution,UN1755,16304,liters,liquid,Metals recovery,PAD087561015,INMETCO,1 INMETCO DR,ELLWOOD CITY,PA,16117,40.857673,-80.273355
2010,E3A51971,AIMCO SOLREC LTD,425 MOROBEL DR,MILTON,ONTARIO,CANADA,43.51971,-79.89753,"Flammable liquids, n.o.s.",UN1993,21388,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,20858,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,20400,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,20858,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,20858,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,21743,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,21743,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,21304,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,21501,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,21304,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2010,E3A25801,HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.25801,-79.83131,"Flammable liquids, toxic, n.o.s.",UN1992,20596,liters,liquid,Fuel blending,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,45879,41.1794467,-84.6049518
2011,E3A49812,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981162,-79.626647,"Pesticides, solid, toxic, n.o.s.",UN2588,3520,liters,liquid,Incineration,ARD068748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,33.2065288,-92.6290289
2011,E9A13781,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,CANADA,49.137814,-123.007124,"Flammable liquids, n.o.s.",UN1993,9464,liters,liquid,Incineration,NED981723513,CLEAN HARBORS INC,2247 SOUTH HIGHWAY 71,KIMBALL,NE,69145,41.224802,-103.662217
2011,E3A59682,CHEMTURA CANADA,25 ERB STREET,ELMIRA,ONTARIO,CANADA,43.596818,-80.551437,Sodium hydroxide solution,UN1824,21743,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A59682,CHEMTURA CANADA,25 ERB STREET,ELMIRA,ONTARIO,CANADA,43.596818,-80.551437,Sodium hydroxide solution,UN1824,19612,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A40993,COURT GALVANIZING,225 THOMPSON RD,CAMBRIDGE,ONTARIO,CANADA,43.40993,-80.29754,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,20657,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A40993,COURT GALVANIZING,225 THOMPSON RD,CAMBRIDGE,ONTARIO,CANADA,43.40993,-80.29754,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,15683,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A40993,COURT GALVANIZING,225 THOMPSON RD,CAMBRIDGE,ONTARIO,CANADA,43.40993,-80.29754,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,18333,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A40993,COURT GALVANIZING,225 THOMPSON RD,CAMBRIDGE,ONTARIO,CANADA,43.40993,-80.29754,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,25635,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A64151,GALVCAST MANUFACTURING INC,60 COMMERCE CRES,ACTON,ONTARIO,CANADA,43.6415099,-80.05166,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,24594,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
2011,E3A70525,PURE METAL GALVANIZING,7470 BREN RD.,MISSISSAUGA,ONTARIO,CANADA,43.70525,-79.66331,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,26827,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
