exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units_final,phase,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16304,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16304,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,15441,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16304,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,15005,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,17133,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,17939,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,19063,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16629,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,17542,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,12287,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16629,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,17542,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,15876,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16304,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,17133,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CORPORATION,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,LEAD,12745,Liters,liquid,Recovery_Other,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,598,Liters,liquid,Destruction_Stabalization,44707,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,401,Liters,liquid,Destruction_Stabalization,44707,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,1601,Liters,liquid,Recovery_Metals,44707,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,572,Liters,liquid,Destruction_Stabalization,44707,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
DANA CANADA CORP.,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,LEAD,11364,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,15876,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,LEAD,12287,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,16629,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,17939,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,205 INDUSTRIAL DRIVE,MOUNT FORGET,ONTARIO,CANADA,43.9867783,-80.7470779,LEAD,15005,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,201,Liters,liquid,Destruction_Stabalization,44207,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,1999,Liters,liquid,Destruction_Stabalization,44207,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,201,Liters,liquid,Destruction_Stabalization,44207,OHD980568992,ENVIRITE OF OHIO,2050 CENTRAL AVE SE,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,9433,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,10217,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,9267,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,15834,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,10327,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,16027,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,12284,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,13548,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,15513,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,17436,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,18310,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,17360,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,16576,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,12038,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,17977,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,17735,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,12499,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,8320,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
NETWORK MATERIALS AND RESOURCES INC,31 GOLDEN GATE CRT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,LEAD,16531,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
QUANTEX TECHNOLOGIES,260 SHOEMAKER ST,KITCHENER,ONTARIO,CANADA,43.4044304,-80.467308,LEAD,9585,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
QUANTEX TECHNOLOGIES,260 SHOEMAKER ST,KITCHENER,ONTARIO,CANADA,43.4044304,-80.467308,LEAD,17356,Liters,liquid,Recovery_Metals,16117,PAD087561015,INMETCO,1 INMETCO DRIVE,ELLWOOD CITY,PA,40.8574267,-80.270097
ONTARIO POWER GENERATOR PICKERING NUCLEAR,1675 MONTGOMERY PARK,PICKERING,NA,CANADA,43.8151779,-79.0609131,LEAD,189,Liters,liquid,Destruction_Incineration,37763,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES/ INC (DSSI),657 GALLAHER ROAD,KINGSTON,TN,35.876114,-84.437805
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21501,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,20517,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21501,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,20517,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,20710,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,21009,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,20668,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
